"Add Recipient","Empfänger hinzufügen"
"Allow for Guests","Für Gäste erlauben"
"Mage_Sendfriend::An invalid email address for recipient was entered.","Sie haben eine ungültige Empfänger E-Mail-Adresse eingegeben."
"At least one recipient must be specified.","Es muss mindestens ein Empfänger eingetragen werden."
"Back","Zurück"
"Catalog Product Email to a Friend","Produkt aus dem Katalog per E-Mail an einen Freund senden"
"Email Address","E-Mail-Adresse"
"Email Address:","E-Mail-Adresse:"
"Email Templates","E-Mail Vorlagen"
"Email to a Friend","Diesen Artikel per E-Mail empfehlen"
"Email:","E-Mail:"
"Enabled","Aktiviert"
"Invalid Sender Information","Ungültiger Absender"
"Mage_Sendfriend::Invalid sender email.","Sie haben eine ungültige Absender E-Mail-Adresse eingegeben."
"Limit Sending By","Senden einschränken auf"
"Max Products Sent in 1 Hour","Maximale Anzahl in einer Stunde gesendeter Produkte"
"Max Recipients","Maximale Empfängeranzahl"
"Maximum %d email addresses allowed.","Maximal %d E-Mail-Adressen erlaubt."
"Message:","Nachricht:"
"Name","Name"
"Name:","Name:"
"No more than %d emails can be sent at a time.","Es können nicht mehr als %d E-Mails auf einmal versendet werden."
"Please define a correct Cookie instance.","Legen Sie bitte eine korrekte Cookie-Instanz fest."
"Please define a correct Product instance.","Legen Sie bitte eine korrekte Produkt-Instanz fest."
"Please define the correct Sender information.","Bitte legen Sie korrekte Senderinformationen fest."
"Recipient:","Empfänger:"
"Remove Email","E-Mail löschen"
"Select Email Template","E-Mail-Vorlage wählen"
"Send Email","E-Mail senden"
"Send product to a friend","Dieses Produkt an einen Freund senden"
"Sender:","Absender:"
"Some emails were not sent.","Einige E-Mail wurden nicht gesendet."
"The link to a friend was sent.","Vielen Dank. Ihre Empfehlung wurde versendet."
"The message cannot be empty."," Sie haben keine Nachricht eingegeben."
"The messages cannot be sent more than %d times in an hour","Die Nachrichten können nicht öfter als %d mal pro Stunde gesendet werden"
"Mage_Sendfriend::The sender name cannot be empty."," Sie haben keinen Absender-Namen eingegeben."
"The product name cannot be empty.","Bitte geben Sie den Produktnamen an."
"There were some problems with the data.","Es traten Probleme mit den Daten auf."
"You have exceeded limit of %d sends in an hour","Sie haben das Limit von %d Nachrichten pro Stunde überschritten"
"Product Name:","Produktbezeichnung:"
"Message to the recipient:","Nachricht an den Empfänger:"
